sectionID,sectionTitle,conversationID,questionID,question,vars,queries,program,answer,folder_name
1,simple,2,1,Was Caterpillar's average total revenue higher or lower than Realogy's lowest net income from 2019 to 2021?,"{'company_1': {'mention': 'Caterpillar', 'name': 'CATERPILLAR INC'}, 'company_2': {'mention': 'Realogy', 'name': 'Realogy Holdings Corp.'}, 'concept_1': {'mention': 'total revenue', 'name': 'us-gaap:Revenues'}, 'concept_2': {'mention': 'net income', 'name': 'us-gaap:ProfitLoss'}, 'year_1': 2019, 'year_2': 2021}","{'var_q1_p1': 'WITH [""CATERPILLAR INC""] AS companies, [""us-gaap:Revenues""] AS concepts, [2019, 2020, 2021] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value', 'var_q1_p2': 'WITH [""Realogy Holdings Corp.""] AS companies, [""us-gaap:ProfitLoss""] AS concepts, [2019, 2020, 2021] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value'}","['var_q1_p1 = get_company_facts(company_1, concept_1, start=year_1, end=year_2)', 'var_q1_p2 = get_company_facts(company_2, concept_2, start=year_1, end=year_2)', ""var_q1_p3 = mean(var_q1_p1, axis='columns', level=null)"", ""var_q1_p4 = sort(var_q1_p2, ascending=True, axis='columns', by=[['Realogy Holdings Corp.','us-gaap:ProfitLoss']])"", ""var_q1_p5 = k_end(var_q1_p4, axis='rows', direction='first', k=1)"", ""var_q1_p6 = merge(var_q1_p5, axis='rows', dfs=[var_q1_p3], ignore_index=False)"", ""var_q1_p7 = compare(var_q1_p6, axis='rows')""]",higher,chat-1-01
1,simple,2,2,By how much?,"{'company_1': {'mention': 'Caterpillar', 'name': 'CATERPILLAR INC'}, 'company_2': {'mention': 'Realogy', 'name': 'Realogy Holdings Corp.'}, 'concept_1': {'mention': 'total revenue', 'name': 'us-gaap:Revenues'}, 'concept_2': {'mention': 'net income', 'name': 'us-gaap:ProfitLoss'}, 'year_1': 2019, 'year_2': 2021}","{'var_q2_p1': 'WITH [""CATERPILLAR INC""] AS companies, [""us-gaap:Revenues""] AS concepts, [2019, 2020, 2021] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value', 'var_q2_p2': 'WITH [""Realogy Holdings Corp.""] AS companies, [""us-gaap:ProfitLoss""] AS concepts, [2019, 2020, 2021] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value'}","['var_q2_p1 = get_company_facts(company_1, concept_1, start=year_1, end=year_2)', 'var_q2_p2 = get_company_facts(company_2, concept_2, start=year_1, end=year_2)', ""var_q2_p3 = mean(var_q2_p1, axis='columns', level=null)"", ""var_q2_p4 = sort(var_q2_p2, ascending=True, axis='columns', by=[['Realogy Holdings Corp.','us-gaap:ProfitLoss']])"", ""var_q2_p5 = k_end(var_q2_p4, axis='rows', direction='first', k=1)"", ""var_q2_p6 = merge(var_q2_p5, axis='rows', dfs=[var_q2_p3], ignore_index=False)"", ""var_q2_p7 = diff(var_q2_p6, axis='rows')"", 'var_q2_p8 = abs(var_q2_p7, )']",48654666666.67,chat-1-01
1,simple,2,3,"Comparing to the highest net income, how much?","{'company_1': {'mention': 'Caterpillar', 'name': 'CATERPILLAR INC'}, 'company_2': {'mention': 'Realogy', 'name': 'Realogy Holdings Corp.'}, 'concept_1': {'mention': 'total revenue', 'name': 'us-gaap:Revenues'}, 'concept_2': {'mention': 'net income', 'name': 'us-gaap:ProfitLoss'}, 'year_1': 2019, 'year_2': 2021}","{'var_q3_p1': 'WITH [""CATERPILLAR INC""] AS companies, [""us-gaap:Revenues""] AS concepts, [2019, 2020, 2021] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value', 'var_q3_p2': 'WITH [""Realogy Holdings Corp.""] AS companies, [""us-gaap:ProfitLoss""] AS concepts, [2019, 2020, 2021] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value'}","['var_q3_p1 = get_company_facts(company_1, concept_1, start=year_1, end=year_2)', 'var_q3_p2 = get_company_facts(company_2, concept_2, start=year_1, end=year_2)', ""var_q3_p3 = mean(var_q3_p1, axis='columns', level=null)"", ""var_q3_p4 = sort(var_q3_p2, ascending=False, axis='columns', by=[['Realogy Holdings Corp.','us-gaap:ProfitLoss']])"", ""var_q3_p5 = k_end(var_q3_p4, axis='rows', direction='first', k=1)"", ""var_q3_p6 = merge(var_q3_p5, axis='rows', dfs=[var_q3_p3], ignore_index=False)"", ""var_q3_p7 = diff(var_q3_p6, axis='rows')"", 'var_q3_p8 = abs(var_q3_p7, )']",48483666666.67,chat-1-01
1,simple,2,4,What about sum instead of average?,"{'company_1': {'mention': 'Caterpillar', 'name': 'CATERPILLAR INC'}, 'company_2': {'mention': 'Realogy', 'name': 'Realogy Holdings Corp.'}, 'concept_1': {'mention': 'total revenue', 'name': 'us-gaap:Revenues'}, 'concept_2': {'mention': 'net income', 'name': 'us-gaap:ProfitLoss'}, 'year_1': 2019, 'year_2': 2021}","{'var_q4_p1': 'WITH [""CATERPILLAR INC""] AS companies, [""us-gaap:Revenues""] AS concepts, [2019, 2020, 2021] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value', 'var_q4_p2': 'WITH [""Realogy Holdings Corp.""] AS companies, [""us-gaap:ProfitLoss""] AS concepts, [2019, 2020, 2021] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value'}","['var_q4_p1 = get_company_facts(company_1, concept_1, start=year_1, end=year_2)', 'var_q4_p2 = get_company_facts(company_2, concept_2, start=year_1, end=year_2)', ""var_q4_p3 = sum(var_q4_p1, axis='columns', level=null)"", ""var_q4_p4 = sort(var_q4_p2, ascending=False, axis='columns', by=[['Realogy Holdings Corp.','us-gaap:ProfitLoss']])"", ""var_q4_p5 = k_end(var_q4_p4, axis='rows', direction='first', k=1)"", ""var_q4_p6 = merge(var_q4_p5, axis='rows', dfs=[var_q4_p3], ignore_index=False)"", ""var_q4_p7 = diff(var_q4_p6, axis='rows')"", 'var_q4_p8 = abs(var_q4_p7, )']",146163000000,chat-1-01
1,simple,2,5,Sum of Piedmont Office Realty Trust's total revenue instead of Caterpillar,"{'company_3': {'mention': 'Piedmont Office Realty Trust', 'name': 'Piedmont Office Realty Trust, Inc.'}, 'company_1': {'mention': 'Caterpillar', 'name': 'CATERPILLAR INC'}, 'company_2': {'mention': 'Realogy', 'name': 'Realogy Holdings Corp.'}, 'concept_1': {'mention': 'total revenue', 'name': 'us-gaap:Revenues'}, 'concept_2': {'mention': 'net income', 'name': 'us-gaap:ProfitLoss'}, 'year_1': 2019, 'year_2': 2021}","{'var_q5_p1': 'WITH [""Piedmont Office Realty Trust, Inc.""] AS companies, [""us-gaap:Revenues""] AS concepts, [2019, 2020, 2021] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value', 'var_q5_p2': 'WITH [""Realogy Holdings Corp.""] AS companies, [""us-gaap:ProfitLoss""] AS concepts, [2019, 2020, 2021] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value'}","['var_q5_p1 = get_company_facts(company_3, concept_1, start=year_1, end=year_2)', 'var_q5_p2 = get_company_facts(company_2, concept_2, start=year_1, end=year_2)', ""var_q5_p3 = sum(var_q5_p1, axis='columns', level=null)"", ""var_q5_p4 = sort(var_q5_p2, ascending=False, axis='columns', by=[['Realogy Holdings Corp.','us-gaap:ProfitLoss']])"", ""var_q5_p5 = k_end(var_q5_p4, axis='rows', direction='first', k=1)"", ""var_q5_p6 = merge(var_q5_p5, axis='rows', dfs=[var_q5_p3], ignore_index=False)"", ""var_q5_p7 = diff(var_q5_p6, axis='rows')"", 'var_q5_p8 = abs(var_q5_p7, )']",1240912000,chat-1-01
1,simple,2,6,2018 to 2022 instead of 2019 to 2021,"{'year_3': 2018, 'year_4': 2022, 'company_3': {'mention': 'Piedmont Office Realty Trust', 'name': 'Piedmont Office Realty Trust, Inc.'}, 'company_1': {'mention': 'Caterpillar', 'name': 'CATERPILLAR INC'}, 'company_2': {'mention': 'Realogy', 'name': 'Realogy Holdings Corp.'}, 'concept_1': {'mention': 'total revenue', 'name': 'us-gaap:Revenues'}, 'concept_2': {'mention': 'net income', 'name': 'us-gaap:ProfitLoss'}, 'year_1': 2019, 'year_2': 2021}","{'var_q6_p1': 'WITH [""Piedmont Office Realty Trust, Inc.""] AS companies, [""us-gaap:Revenues""] AS concepts, [2018, 2019, 2020, 2021, 2022] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value', 'var_q6_p2': 'WITH [""Realogy Holdings Corp.""] AS companies, [""us-gaap:ProfitLoss""] AS concepts, [2018, 2019, 2020, 2021, 2022] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value'}","['var_q6_p1 = get_company_facts(company_3, concept_1, start=year_3, end=year_4)', 'var_q6_p2 = get_company_facts(company_2, concept_2, start=year_3, end=year_4)', ""var_q6_p3 = sum(var_q6_p1, axis='columns', level=null)"", ""var_q6_p4 = sort(var_q6_p2, ascending=False, axis='columns', by=[['Realogy Holdings Corp.','us-gaap:ProfitLoss']])"", ""var_q6_p5 = k_end(var_q6_p4, axis='rows', direction='first', k=1)"", ""var_q6_p6 = merge(var_q6_p5, axis='rows', dfs=[var_q6_p3], ignore_index=False)"", ""var_q6_p7 = diff(var_q6_p6, axis='rows')"", 'var_q6_p8 = abs(var_q6_p7, )']",2330645000,chat-1-01
1,simple,2,7,What would be the sum if 2022 was not included?,"{'year_5': 2021, 'year_3': 2018, 'year_4': 2022, 'company_3': {'mention': 'Piedmont Office Realty Trust', 'name': 'Piedmont Office Realty Trust, Inc.'}, 'company_1': {'mention': 'Caterpillar', 'name': 'CATERPILLAR INC'}, 'company_2': {'mention': 'Realogy', 'name': 'Realogy Holdings Corp.'}, 'concept_1': {'mention': 'total revenue', 'name': 'us-gaap:Revenues'}, 'concept_2': {'mention': 'net income', 'name': 'us-gaap:ProfitLoss'}, 'year_1': 2019, 'year_2': 2021}","{'var_q7_p1': 'WITH [""Piedmont Office Realty Trust, Inc.""] AS companies, [""us-gaap:Revenues""] AS concepts, [2018, 2019, 2020, 2021] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value'}","['var_q7_p1 = get_company_facts(company_3, concept_1, start=year_3, end=year_5)', ""var_q7_p2 = sum(var_q7_p1, axis='columns', level=null)""]",2122879000,chat-1-01
1,simple,2,8,How much different was Caterpillar's sum to Realogy for the same years?,"{'year_5': 2021, 'year_3': 2018, 'year_4': 2022, 'company_3': {'mention': 'Piedmont Office Realty Trust', 'name': 'Piedmont Office Realty Trust, Inc.'}, 'company_1': {'mention': 'Caterpillar', 'name': 'CATERPILLAR INC'}, 'company_2': {'mention': 'Realogy', 'name': 'Realogy Holdings Corp.'}, 'concept_1': {'mention': 'total revenue', 'name': 'us-gaap:Revenues'}, 'concept_2': {'mention': 'net income', 'name': 'us-gaap:ProfitLoss'}, 'year_1': 2019, 'year_2': 2021}","{'var_q8_p1': 'WITH [""CATERPILLAR INC"", ""Realogy Holdings Corp.""] AS companies, [""us-gaap:Revenues""] AS concepts, [2018, 2019, 2020, 2021] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value'}","['var_q8_p1 = get_company_facts([company_1, company_2], concept_1, start=year_3, end=year_5)', ""var_q8_p2 = sum(var_q8_p1, axis='columns', level=null)"", ""var_q8_p3 = diff(var_q8_p2, axis='rows')"", 'var_q8_p4 = abs(var_q8_p3, )']",175088000000,chat-1-01
1,simple,2,9,What would it be if 2022 was not excluded?,"{'year_5': 2021, 'year_3': 2018, 'year_4': 2022, 'company_3': {'mention': 'Piedmont Office Realty Trust', 'name': 'Piedmont Office Realty Trust, Inc.'}, 'company_1': {'mention': 'Caterpillar', 'name': 'CATERPILLAR INC'}, 'company_2': {'mention': 'Realogy', 'name': 'Realogy Holdings Corp.'}, 'concept_1': {'mention': 'total revenue', 'name': 'us-gaap:Revenues'}, 'concept_2': {'mention': 'net income', 'name': 'us-gaap:ProfitLoss'}, 'year_1': 2019, 'year_2': 2021}","{'var_q9_p1': 'WITH [""CATERPILLAR INC"", ""Realogy Holdings Corp.""] AS companies, [""us-gaap:Revenues""] AS concepts, [2018, 2019, 2020, 2021, 2022] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value'}","['var_q9_p1 = get_company_facts([company_1, company_2], concept_1, start=year_3, end=year_4)', ""var_q9_p2 = sum(var_q9_p1, axis='columns', level=null)"", ""var_q9_p3 = diff(var_q9_p2, axis='rows')""]",227607000000,chat-1-01
1,simple,2,10,List the differences by year (do not sum),"{'year_5': 2021, 'year_3': 2018, 'year_4': 2022, 'company_3': {'mention': 'Piedmont Office Realty Trust', 'name': 'Piedmont Office Realty Trust, Inc.'}, 'company_1': {'mention': 'Caterpillar', 'name': 'CATERPILLAR INC'}, 'company_2': {'mention': 'Realogy', 'name': 'Realogy Holdings Corp.'}, 'concept_1': {'mention': 'total revenue', 'name': 'us-gaap:Revenues'}, 'concept_2': {'mention': 'net income', 'name': 'us-gaap:ProfitLoss'}, 'year_1': 2019, 'year_2': 2021}","{'var_q10_p1': 'WITH [""CATERPILLAR INC"", ""Realogy Holdings Corp.""] AS companies, [""us-gaap:Revenues""] AS concepts, [2018, 2019, 2020, 2021, 2022] AS years MATCH (o:Company)-[r:HAS_CONCEPT]-> (c:Concept)-[rf:HAS_FACT]->(f:Fact) WHERE o.name IN companies AND c.name IN concepts AND f.year IN years RETURN o.name AS company, c.name AS concept, f.year AS year, f.number AS value'}","['var_q10_p1 = get_company_facts([company_1, company_2], concept_1, start=year_3, end=year_4)', ""var_q10_p2 = diff(var_q10_p1, axis='rows')"", 'var_q10_p3 = abs(var_q10_p2, )']","{'2018': 48643000000, '2019': 47930000000, '2020': 35527000000, '2021': 42988000000, '2022': 52519000000}",chat-1-01
