var_q1_p1,var_q1_p2,folder_name,conversationID,var_q2_p1,var_q2_p2,var_q3_p1,var_q3_p2,var_q4_p1,var_q4_p2,var_q5_p1,var_q5_p2,var_q6_p1,var_q6_p2,var_q7_p1,var_q8_p1,var_q9_p1,var_q10_p1,var_q7_p2,var_q8_p2,var_q9_p2,var_q10_p2
"                                          2019          2020          2021
CATERPILLAR INC us-gaap:Revenues  5.380000e+10  4.174800e+10  5.097100e+10","                                                  2019         2020  \
Realogy Holdings Corp. us-gaap:ProfitLoss  185000000.0  356000000.0   

                                                  2021  
Realogy Holdings Corp. us-gaap:ProfitLoss  350000000.0  ",chat-1-01,2,,,,,,,,,,,,,,,,,,
,,chat-1-01,2,"                                          2019          2020          2021
CATERPILLAR INC us-gaap:Revenues  5.380000e+10  4.174800e+10  5.097100e+10","                                                  2019         2020  \
Realogy Holdings Corp. us-gaap:ProfitLoss  185000000.0  356000000.0   

                                                  2021  
Realogy Holdings Corp. us-gaap:ProfitLoss  350000000.0  ",,,,,,,,,,,,,,,,
,,chat-1-01,2,,,"                                          2019          2020          2021
CATERPILLAR INC us-gaap:Revenues  5.380000e+10  4.174800e+10  5.097100e+10","                                                  2019         2020  \
Realogy Holdings Corp. us-gaap:ProfitLoss  185000000.0  356000000.0   

                                                  2021  
Realogy Holdings Corp. us-gaap:ProfitLoss  350000000.0  ",,,,,,,,,,,,,,
,,chat-1-01,2,,,,,"                                          2019          2020          2021
CATERPILLAR INC us-gaap:Revenues  5.380000e+10  4.174800e+10  5.097100e+10","                                                  2019         2020  \
Realogy Holdings Corp. us-gaap:ProfitLoss  185000000.0  356000000.0   

                                                  2021  
Realogy Holdings Corp. us-gaap:ProfitLoss  350000000.0  ",,,,,,,,,,,,
,,chat-1-01,2,,,,,,,"                                                            2019         2020  \
Piedmont Office Realty Trust, Inc. us-gaap:Revenues  533178000.0  535024000.0   

                                                            2021  
Piedmont Office Realty Trust, Inc. us-gaap:Revenues  528710000.0  ","                                                  2019         2020  \
Realogy Holdings Corp. us-gaap:ProfitLoss  185000000.0  356000000.0   

                                                  2021  
Realogy Holdings Corp. us-gaap:ProfitLoss  350000000.0  ",,,,,,,,,,
,,chat-1-01,2,,,,,,,,,"                                                            2018         2019  \
Piedmont Office Realty Trust, Inc. us-gaap:Revenues  525967000.0  533178000.0   

                                                            2020         2021  \
Piedmont Office Realty Trust, Inc. us-gaap:Revenues  535024000.0  528710000.0   

                                                            2022  
Piedmont Office Realty Trust, Inc. us-gaap:Revenues  563766000.0  ","                                                  2018         2019  \
Realogy Holdings Corp. us-gaap:ProfitLoss  140000000.0  185000000.0   

                                                  2020         2021  \
Realogy Holdings Corp. us-gaap:ProfitLoss  356000000.0  350000000.0   

                                                  2022  
Realogy Holdings Corp. us-gaap:ProfitLoss  283000000.0  ",,,,,,,,
,,chat-1-01,2,,,,,,,,,,,"                                                            2018         2019  \
Piedmont Office Realty Trust, Inc. us-gaap:Revenues  525967000.0  533178000.0   

                                                            2020         2021  
Piedmont Office Realty Trust, Inc. us-gaap:Revenues  535024000.0  528710000.0  ",,,,,,,
,,chat-1-01,2,,,,,,,,,,,,"                                                 2018          2019  \
Realogy Holdings Corp. us-gaap:Revenues  6.079000e+09  5.870000e+09   
CATERPILLAR INC        us-gaap:Revenues  5.472200e+10  5.380000e+10   

                                                 2020          2021  
Realogy Holdings Corp. us-gaap:Revenues  6.221000e+09  7.983000e+09  
CATERPILLAR INC        us-gaap:Revenues  4.174800e+10  5.097100e+10  ",,,,,,
,,chat-1-01,2,,,,,,,,,,,,,"                                                 2018          2019  \
Realogy Holdings Corp. us-gaap:Revenues  6.079000e+09  5.870000e+09   
CATERPILLAR INC        us-gaap:Revenues  5.472200e+10  5.380000e+10   

                                                 2020          2021  \
Realogy Holdings Corp. us-gaap:Revenues  6.221000e+09  7.983000e+09   
CATERPILLAR INC        us-gaap:Revenues  4.174800e+10  5.097100e+10   

                                                 2022  
Realogy Holdings Corp. us-gaap:Revenues  6.908000e+09  
CATERPILLAR INC        us-gaap:Revenues  5.942700e+10  ",,,,,
,,chat-1-01,2,,,,,,,,,,,,,,"                                                 2018          2019  \
Realogy Holdings Corp. us-gaap:Revenues  6.079000e+09  5.870000e+09   
CATERPILLAR INC        us-gaap:Revenues  5.472200e+10  5.380000e+10   

                                                 2020          2021  \
Realogy Holdings Corp. us-gaap:Revenues  6.221000e+09  7.983000e+09   
CATERPILLAR INC        us-gaap:Revenues  4.174800e+10  5.097100e+10   

                                                 2022  
Realogy Holdings Corp. us-gaap:Revenues  6.908000e+09  
CATERPILLAR INC        us-gaap:Revenues  5.942700e+10  ",,,,
"                                                                                  2018  \
CAMDEN PROPERTY TRUST             us-gaap:GeneralAndAdministrativeExpense   50735000.0   
Prologis, Inc.                    us-gaap:GeneralAndAdministrativeExpense  238985000.0   
ServiceNow, Inc.                  us-gaap:GeneralAndAdministrativeExpense  296027000.0   
ZIFF DAVIS, INC.                  us-gaap:GeneralAndAdministrativeExpense  375267000.0   
TripAdvisor, Inc.                 us-gaap:GeneralAndAdministrativeExpense  177000000.0   
...                                                                                ...   
ZEBRA TECHNOLOGIES CORP           us-gaap:GeneralAndAdministrativeExpense  328000000.0   
Provention Bio, Inc.              us-gaap:GeneralAndAdministrativeExpense    4165000.0   
CareDx, Inc.                      us-gaap:GeneralAndAdministrativeExpense   22976000.0   
Sunnova Energy International Inc. us-gaap:GeneralAndAdministrativeExpense   67430000.0   
Jounce Therapeutics, Inc.         us-gaap:GeneralAndAdministrativeExpense          NaN   

                                                                                  2019  \
CAMDEN PROPERTY TRUST             us-gaap:GeneralAndAdministrativeExpense   53201000.0   
Prologis, Inc.                    us-gaap:GeneralAndAdministrativeExpense  266718000.0   
ServiceNow, Inc.                  us-gaap:GeneralAndAdministrativeExpense  339000000.0   
ZIFF DAVIS, INC.                  us-gaap:GeneralAndAdministrativeExpense  402597000.0   
TripAdvisor, Inc.                 us-gaap:GeneralAndAdministrativeExpense  187000000.0   
...                                                                                ...   
ZEBRA TECHNOLOGIES CORP           us-gaap:GeneralAndAdministrativeExpense  323000000.0   
Provention Bio, Inc.              us-gaap:GeneralAndAdministrativeExpense    8013000.0   
CareDx, Inc.                      us-gaap:GeneralAndAdministrativeExpense   36540000.0   
Sunnova Energy International Inc. us-gaap:GeneralAndAdministrativeExpense   97986000.0   
Jounce Therapeutics, Inc.         us-gaap:GeneralAndAdministrativeExpense   27920000.0   

                                                                                  2020  \
CAMDEN PROPERTY TRUST             us-gaap:GeneralAndAdministrativeExpense   53624000.0   
Prologis, Inc.                    us-gaap:GeneralAndAdministrativeExpense  274845000.0   
ServiceNow, Inc.                  us-gaap:GeneralAndAdministrativeExpense  454000000.0   
ZIFF DAVIS, INC.                  us-gaap:GeneralAndAdministrativeExpense  418579000.0   
TripAdvisor, Inc.                 us-gaap:GeneralAndAdministrativeExpense  173000000.0   
...                                                                                ...   
ZEBRA TECHNOLOGIES CORP           us-gaap:GeneralAndAdministrativeExpense  304000000.0   
Provention Bio, Inc.              us-gaap:GeneralAndAdministrativeExpense   33327000.0   
CareDx, Inc.                      us-gaap:GeneralAndAdministrativeExpense   48806000.0   
Sunnova Energy International Inc. us-gaap:GeneralAndAdministrativeExpense  115148000.0   
Jounce Therapeutics, Inc.         us-gaap:GeneralAndAdministrativeExpense   28766000.0   

                                                                                  2021  
CAMDEN PROPERTY TRUST             us-gaap:GeneralAndAdministrativeExpense   59368000.0  
Prologis, Inc.                    us-gaap:GeneralAndAdministrativeExpense  293167000.0  
ServiceNow, Inc.                  us-gaap:GeneralAndAdministrativeExpense  597000000.0  
ZIFF DAVIS, INC.                  us-gaap:GeneralAndAdministrativeExpense  456777000.0  
TripAdvisor, Inc.                 us-gaap:GeneralAndAdministrativeExpense  167000000.0  
...                                                                                ...  
ZEBRA TECHNOLOGIES CORP           us-gaap:GeneralAndAdministrativeExpense  348000000.0  
Provention Bio, Inc.              us-gaap:GeneralAndAdministrativeExpense   47346000.0  
CareDx, Inc.                      us-gaap:GeneralAndAdministrativeExpense   74964000.0  
Sunnova Energy International Inc. us-gaap:GeneralAndAdministrativeExpense  204236000.0  
Jounce Therapeutics, Inc.         us-gaap:GeneralAndAdministrativeExpense   28984000.0  

[951 rows x 4 columns]",,chat-2-01,3,,,,,,,,,,,,,,,,,,
